#K	Xi	PB	PG
-4.47213595499958	9.5367431640625e-7	2.132480599880018e-6
-4.024922359499621	1.9073486328125e-5	4.264961199760036e-5
-3.5777087639996634	1.811981201171875e-4	4.051713139772034e-4
-3.1304951684997055	1.087188720703125e-3	2.4310278838632206e-3
-2.6832815729997477	4.620552062988281e-3	1.0331868506418687e-2
-2.23606797749979	1.47857666015625e-2	3.30619792205398e-2
-1.7888543819998317	3.696441650390625e-2	8.26549480513495e-2
-1.3416407864998738	7.39288330078125e-2	0.165309896102699
-0.8944271909999159	0.12013435363769531	0.26862858116688587
-0.4472135954999579	0.16017913818359375	0.35817144155584785
0.0	0.17619705200195313	0.39398858571143264
0.4472135954999579	0.16017913818359375	0.35817144155584785
0.8944271909999159	0.12013435363769531	0.26862858116688587
1.3416407864998738	7.39288330078125e-2	0.165309896102699
1.7888543819998317	3.696441650390625e-2	8.26549480513495e-2
2.23606797749979	1.47857666015625e-2	3.30619792205398e-2
2.6832815729997477	4.620552062988281e-3	1.0331868506418687e-2
3.1304951684997055	1.087188720703125e-3	2.4310278838632206e-3
3.5777087639996634	1.811981201171875e-4	4.051713139772034e-4
4.024922359499621	1.9073486328125e-5	4.264961199760036e-5
4.47213595499958	9.5367431640625e-7	2.132480599880018e-6
